abaza	value
ПшцIашара	ПшцIа-[ша]-ра\nперех.\nподелить, делить кого, что-л. во дворе\nЙымаз акIьадыгв й-пшцIа-й-ша-тI. Аб. Т. Он во дворе поделил все, что имел.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2242
ПшцIашахра (1)	ПшцIа-[шах]-ра\nнеперех.\nсгореть, гореть во дворе\nД-пшцIа-шах-уан. Аб. Т. Он горел во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2243
ПшцIашахра (2)	ПшцIа-[шах]-ра\nперех.\nсжечь, сжигать кого, что-л. во дворе\nЙ-пшцIа-р-шах-уан. Аб. Т. Они то (в.) сжигали во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2244
ПшцIашвра	ПшцIа-[шв]-ра\nнеперех.\nзамерзнуть, замерзать во дворе\nЙ-пшцIа-шв-уан. Аб. Т. То (в.) замерзало во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2245
ПшцIашвара	ПшцIа-[шва]-ра\nнеперех.\nпоместиться. уместиться во дворе\nАуагIа пшцIашвун (й-пшцIа-ша-ун). Аб. Т. Народ умещался во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2246
ПшцIашвшвра	ПшцIа-[швшв]-ра\nнеперех.\nсвистеть во дворе\nД-пшцIа-швшв-уан. Аб. Т. Он свистел во дворе.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2247
ПшцIащра	ПшцIа-[щ]-ра\nперех.\nубить кого-л. во дворе; побить, бить кого-л. во дворе\nЙыгIвзачва намдзазарквын д-пшцIа-р-щ-уа-шы-н. Аб. Т. Они его убили бы во дворе, если бы не поспели его товарищи.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2248
ПшцIащщра	ПшцIа-[щщ]-ра\nнеперех.\nпролезть, лезть во двор\nД-пшцIа-щщ-уан. Аб. Т. Он пролезал во двор.\nПРЕВЕРБ пшцIа+КОРНИ\nКлычев, с. page\n2249
ПшцIагара (2)	ПшцIа-[га]-ра\nперех.\nунести, уносить кого, что-л. со двора; перен. получить, получить что-л. (за труд)\nЙхIакъ пшцIигахуан (й-пшцI-и-га-х-уан). Аб. Т. Он получал за свой труд (он то уносил со двора).\nПРЕВЕРБ пшцI(ы)+КОРНИ\nКлычев, с. page\n2250
ПшцIыкъьара	ПшцIы-[къьа]-ра\nнеперех.\nубежать, убегать со двора\nАкIьадыгв д-пшцIы-къьа-х-тI. Аб. Т. Он убежал со двора.\nПРЕВЕРБ пшцI(ы)+КОРНИ\nКлычев, с. page\n2251
ПшцIхIвара	ПшцI-[хIва]-ра\nперех.\nвытащить, вытаскивать кого, что-л. со двора\nЙрыквшвузгьи йрыквымшвузгьи пшцIырхIватI (й-пшцIы-р-хIва-тI). Аб. Т. Они вытащили со двора положенное и неположенное.\nПРЕВЕРБ пшцI(ы)+КОРНИ\nКлычев, с. page\n2252
ПшцIцара	ПшцI-[ца]-ра\nперех.\nпрогнать, прогонять кого, что-л. со двора\nРуысква йанрылга д-пшцIы-р-ца-х-тм. Аб. Т. Когда закончили свои дела, они его прогнали со двора.\nПРЕВЕРБ пшцI(ы)+КОРНИ\nКлычев, с. page\n2253
ПшцIычIвара	ПшцIы-[чIва]-ра\nнеперех.\nвыливаться со двора (о жидкости)\nАща пшцIычIвун (й-пшцIы-чIв-ун). Аб. Т. Кровь выливалась со двора.\nПРЕВЕРБ пшцI(ы)+КОРНИ\nКлычев, с. page\n2254
Пшвырхъыччара	П-швы-р-хъы-[чча]-ра\nнеперех.\nулыбаться, усмехнуться, усмехаться\nУ-п-швы-р-хъы-чч-итI гвападза. АчIвыиа, 5. Ты улыбаешься ласково. Бакь къвышдза д-п-швы-р-хъы-чча-тI. Муртат, 16. Бек хитро усмехнулся. \nПРЕВЕРБ п-швы-р+ КОРЕНЬ\nКлычев, с. page\n2255
ПшIаблыгьара	П-шIа-[блыгьа]-ра\nнеперех.\nвыкатиться, выкатываться против кого, чего-л.\nАджьугьальа рпшIаблыгьатI (й-р-п-шIа-блыгьа-тI). Аб. Т. Перекати-поле выкатилось против них.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2256
ПшIагара	П-шIа-[га]-ра\nперех.\nпреподнести, нести кого, что-л. навстречу кому, чему-н. донести что-л. кому-н.\nАхабар рпшIалгатI (й-р-п-шIа-л-га-тI). Аб. Т. Она преподнесла им весть.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2257
ПшIагыла	П-шIа-[гыла]-\nнеперех.\nстоять против кого, чего-л.\nЩа дрычIвитI ауат й-ы-р-п-шIа-гыла. Ашахв, 43. Они проливают кровь, стоя против тех.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2258
ПшIагылра	П-шIа-[гыл]-ра\nнеперех.\nпротестовать против кого, чего-л. выступить против кого, чего-л.\nМутIалиб Сафарби д-и-п-шIа-гыл-тI. Ащхъаква, 34. Муталиб выступил против Сафарби. Йара айсра д-а-п-шIа-гыл-тI. Алгьыл, 51. Он стал против войны.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2259
ПшIагвара	П-шIа-[гва]-ра\nперех.\nподсунуть, выставить кого, что-л. против кого, чего-н.\nД-и-п-шIа-р-гва-тI. Аб. Т. Они его (ч.) подсунули против него (м.).\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2260
ПшIагвьгъьра	П-шIа-[гвь]-гъьра\nнеперех.\nустать, уставать, находясь против кого, чего-л.\nД-р-п-шIа-гвы-гъь-тI. Аб. Т. Он устал, находясь против них.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2261
ПшIагвычIара	П-шIа-[гвычIа]-ра\nперех.\nрастоптать, растаптывать кого, что-л. находясь против кого, чего-н.\nЙ-р-п-шIа-й-гвычIа-тI. Аб. Т. Он (м.) растоптал то (в.), находясь против них.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2262
ПшIагьажьра	П-шIа-[гьажь]-ра\nнеперех.\nвыкатиться, выкатываться, подкатиться против кого, чего-л.\nАчарх ршпшIагьажьтI (й-р-п-шIа-гьажь-тI). Аб. Т. Колесо выкатилось против них.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2263
ПшIадзра	П-шIа-[дз]-ра\nнеперех.\nпропасть, пропадать, исчезать против кого, чего-л.\nД-ы-р-п-шIа-дз-тI. Аб. Т. Он пропал, выступая против них.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2264
ПшIакшара	П-шIа-[кша]-ра\nнеперех.\nударить, ударять против кого, чего-л.\nД-ы-р-п-шIа-кш-ун. Аб. Т. Он ударял против них.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2265
ПшIакъьара	П-шIа-[къьа]-ра\nперех.\nразмахивать чем-л. против кого, чего-л.\nЙ-р-п-шIа-й-къь-ун. Аб. Т. Он тем (в.) размахивал против них.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2266
ПшIакIра	П-шIа-[кI]-ра\nперех.\nпоймать, ломить кого, что-л. против кого, чего-л.\nД-ы-р-п-шIа-й-кIы-тI. Аб. Т. Он (м.) его (ч.) поймал против них.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2267
ПшIакIкIара	П-шIа-[кIкIа]-ра\nнеперех.\nосветить, освещать кого, что-л. (направляться против кого, чего-н. - о луче)\nАнур рпшIакIкIун (й-р-п-шIа-кIкI-ун). Аб. Т. Луч освещал их (он направлялся против них).\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2268
ПшIапара	П-шIа-[па]-ра\nнеперех.\nперебить, перебивать кого, что-л. (прыгать против кого, чего-н.) \nАхIба й-гь-и-п-шIа-и-у-м. Аб. Т. Старшего не перебивают (они ему против не прыгают).\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2269
ПшIасра	П-шIа-[с]-ра\nнеперех.\nстолкнуться, сталкиваться друг с другом\nАуат апшIаслитI (й-а-п-шIа-с-л-итI). Уарба, 10. Они часто сталкиваются друг с другом.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2270
ПшIауыура	П-шIа-[уыу]-ра\nнеперех.\nвыть против кого, чего-л.\nАквыджьма рпшIауыуан (й-р-п-шIа-уыу-ан). Аб. Т. Волк выл против них.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2271
ПшIафара	П-шIа-[фа]-ра\nперех.\nсъесть, есть что-л. напротив кого, чего-н.\nАбыхъв й-а-п-шIа-р-ф-тI. Аб. Т. Они съели то (в.) напротив скалы.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2272a
ПшIафра	П-шIа-[ф]-ра\nперех.\nсъесть, есть что-л. напротив кого, чего-н.\nАбыхъв й-а-п-шIа-р-ф-тI. Аб. Т. Они съели то (в.) напротив скалы.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2272b
ПшIаххра	П-шIа-[хх]-ра\nнеперех.\nпобеджать, побежать навстречц кому, чему-л.\nАчкIвын д-ы-р-п-шIа-ххы-тI. Аб. Т. Мальчик побежал им навстречу.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2273
ПшIахчIра	П-шIа-[хчI]-ра\nнеперех.\nразбиться, разбиваться напротив кого, чего-л. перед чем, чем-н.\n\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2274
ПшIахысра	П-шIа-[хы]-сра\nнеперех.\nвыстрелить, стрелять против кого, чего-л.\nАбыхъв д-а-п-шIа-хы-с-тI. Аб. Т. Он выстрелил против скалы.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2275
ПшIахъвашара	П-шIа-[хъваша]-ра\nнеперех.\nразбиться, разбиваться напротив кого, чего-л. перед чем, чем-н.\nАбльын йа-п-шIа-хъваша-тI. Аб. Т. То (в.) разбилось напротив стены.\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2276
ПшIахIара	П-шIа-[хIа]-ра\nнеперех.\nощутить, почувствовать перед кем, чем-л. (о запахе)\nАуат закIы рпшIахIатI (й-р-п-шIа-хIа-тI). Аб. Т. Они что-то почувствовали (оно им почудилось).\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2877
ПшIацара	П-шIа-[ца]-ра\nперех.\nзагнать, загонять что-л. против кого, чего-л.\nЗаджвгьи гьимырчважвузтI, й-р-п-шIа-й-ц-ун. Аб. Т. Он никому не давал говорить (он загонял то против них).\nПРЕВЕРБ п-шIа+КОРНИ\nКлычев, с. page\n2278
